time	V(input)
8.061896636165095e-03	1.895891e-02
8.062021216191841e-03	1.899512e-02
8.062180270186960e-03	1.904133e-02
8.062392804247202e-03	1.910305e-02
8.062674673879007e-03	1.918486e-02
8.063064736355997e-03	1.929796e-02
8.063604190813154e-03	1.945419e-02
8.064374212461421e-03	1.967681e-02
8.065487925488755e-03	1.999798e-02
8.067209458637717e-03	2.049249e-02
8.069634778141913e-03	2.118509e-02
8.071879151530270e-03	2.182163e-02
8.074442996521776e-03	2.254347e-02
8.076809438072667e-03	2.320454e-02
8.079086741267916e-03	2.383587e-02
8.079254240368282e-03	2.388211e-02
8.079589238569013e-03	2.397452e-02
8.080259234970478e-03	2.415902e-02
8.080396942733778e-03	2.419689e-02
8.080672358260377e-03	2.427257e-02
8.080928790129466e-03	2.434297e-02
8.081014769258680e-03	2.436656e-02
8.081128723627692e-03	2.439781e-02
8.081281453840711e-03	2.443968e-02
8.081355511769150e-03	2.445998e-02
8.081447878997809e-03	2.448528e-02
8.081515736436694e-03	2.450387e-02
8.081600765269710e-03	2.452715e-02
8.081770822935744e-03	2.457369e-02
8.081931033414739e-03	2.461751e-02
8.082161377831925e-03	2.468047e-02
8.082458278260254e-03	2.476155e-02
8.083518970111290e-03	2.505049e-02
8.084663336601646e-03	2.536098e-02
8.086952069582362e-03	2.597800e-02
8.091529535543793e-03	2.719581e-02
8.098589746412210e-03	2.902968e-02
8.107299406787371e-03	3.121293e-02
8.118934979223546e-03	3.398269e-02
8.132851241949769e-03	3.705573e-02
8.149698404393705e-03	4.039508e-02
8.170087235967431e-03	4.382853e-02
8.196547717156374e-03	4.720652e-02
8.222812994027008e-03	4.927228e-02
8.240836089712178e-03	4.991714e-02
8.261590763395147e-03	4.986747e-02
8.283867018921210e-03	4.887225e-02
8.319986067396423e-03	4.524321e-02
8.377556075431523e-03	3.478299e-02
8.464393220007527e-03	1.109312e-02
8.562049470007526e-03	-1.900333e-02
8.630788175381801e-03	-3.661749e-02
8.668288083300675e-03	-4.355371e-02
8.694321949736926e-03	-4.697146e-02
8.713344441365874e-03	-4.867974e-02
8.729081284788149e-03	-4.956874e-02
8.744963726538393e-03	-4.997497e-02
8.763127582406405e-03	-4.983001e-02
8.786366536056115e-03	-4.870039e-02
8.824017987376968e-03	-4.468954e-02
8.883866410718623e-03	-3.333189e-02
8.895058683904396e-03	-3.063078e-02
8.917443230275941e-03	-2.478842e-02
8.917530669910205e-03	-2.476456e-02
8.917705549178733e-03	-2.471682e-02
8.917750834181233e-03	-2.470445e-02
8.919163639400315e-03	-2.431755e-02
8.920576444619396e-03	-2.392880e-02
8.921989249838478e-03	-2.353820e-02
8.923402055057560e-03	-2.314576e-02
8.924814860276641e-03	-2.275146e-02
8.926227665495723e-03	-2.235531e-02
8.927640470714805e-03	-2.195732e-02
8.937563273461615e-03	-1.911581e-02
8.940043974148318e-03	-1.839338e-02
8.945005375521724e-03	-1.693531e-02
8.945153344966742e-03	-1.689156e-02
8.945449283856780e-03	-1.680403e-02
8.946041161636853e-03	-1.662878e-02
8.946597430287194e-03	-1.646387e-02
8.947709967587876e-03	-1.613345e-02
8.949516289650589e-03	-1.559530e-02
8.950709639885939e-03	-1.523867e-02
8.951723067617988e-03	-1.493513e-02
8.952880650108470e-03	-1.458768e-02
8.953897905322623e-03	-1.428170e-02
8.954928233807950e-03	-1.397120e-02
8.956828951662126e-03	-1.339688e-02
8.959089608376639e-03	-1.271131e-02
8.961165608236142e-03	-1.207948e-02
8.963411251616296e-03	-1.139371e-02
8.965822355150055e-03	-1.065489e-02
8.967622163083052e-03	-1.010178e-02
8.967699963678938e-03	-1.007784e-02
8.967855564870711e-03	-1.002996e-02
8.968166767254258e-03	-9.934157e-03
8.968347544805763e-03	-9.878490e-03
8.968392739193639e-03	-9.864572e-03
8.968483127969391e-03	-9.836731e-03
8.968539051803368e-03	-9.819506e-03
8.968580049856822e-03	-9.806876e-03
8.968628294824246e-03	-9.792013e-03
8.968668482649772e-03	-9.779632e-03
8.968694583069522e-03	-9.771591e-03
8.968728871958057e-03	-9.761026e-03
8.968760091434432e-03	-9.751406e-03
8.968799141921229e-03	-9.739374e-03
8.968840287138407e-03	-9.726695e-03
8.968898751318134e-03	-9.708678e-03
8.968964556128521e-03	-9.688398e-03
8.969052633784214e-03	-9.661250e-03
8.969165993460473e-03	-9.626306e-03
8.969318085467512e-03	-9.579415e-03
8.969523758735158e-03	-9.515989e-03
8.969815683751743e-03	-9.425938e-03
8.970228135610936e-03	-9.298654e-03
8.970634909259275e-03	-9.173062e-03
8.970833836051734e-03	-9.111621e-03
8.970956364236915e-03	-9.073770e-03
8.971031880181144e-03	-9.050438e-03
8.971082964170192e-03	-9.034654e-03
8.971123490034115e-03	-9.022132e-03
8.971156785000968e-03	-9.011844e-03
8.971184664706148e-03	-9.003229e-03
8.971209005160635e-03	-8.995706e-03
8.971232502217350e-03	-8.988445e-03
8.971258268114495e-03	-8.980482e-03
8.971287317562143e-03	-8.971504e-03
8.971337034825359e-03	-8.956138e-03
8.971442732090440e-03	-8.923467e-03
8.971533939895440e-03	-8.895272e-03
8.971715356037347e-03	-8.839183e-03
8.971994097095997e-03	-8.752978e-03
8.972551579213294e-03	-8.580492e-03
8.973291658817734e-03	-8.351346e-03
8.974029921522355e-03	-8.122583e-03
8.974865268266108e-03	-7.863526e-03
8.975623754917868e-03	-7.628118e-03
8.976477780803816e-03	-7.362850e-03
8.977329364595167e-03	-7.098129e-03
8.978321225894779e-03	-6.789547e-03
8.979360982282468e-03	-6.465781e-03
8.980610274168648e-03	-6.076404e-03
8.981998538683908e-03	-5.643276e-03
8.983760015793105e-03	-5.093093e-03
8.985852627495919e-03	-4.438677e-03
8.988777276212686e-03	-3.522802e-03
8.992615966627782e-03	-2.318930e-03
9.000082820920564e-03	2.601896e-05
9.010060401453272e-03	3.158464e-03
